Symbol	ID	Name	Synonyms	Chromosome	Category
KIR2DL5A	57292	"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A"	CD158F|KIR2DL5|KIR2DL5.1|KIR2DL5.3	19	NaturalKiller_Cell_Cytotoxicity
KLRC1	3821	killer cell lectin like receptor C1	CD159A|NKG2|NKG2A	12	NaturalKiller_Cell_Cytotoxicity
KLRC2	3822	killer cell lectin like receptor C2	CD159c|NKG2-C|NKG2C	12	NaturalKiller_Cell_Cytotoxicity
KLRC3	3823	killer cell lectin like receptor C3	NKG2-E|NKG2E	12	NaturalKiller_Cell_Cytotoxicity
KLRD1	3824	killer cell lectin like receptor D1	CD94	12	NaturalKiller_Cell_Cytotoxicity
PTPN6	5777	protein tyrosine phosphatase non-receptor type 6	HCP|HCPH|HPTP1C|PTP-1C|SH-PTP1|SHP-1|SHP-1L|SHP1	12	NaturalKiller_Cell_Cytotoxicity
PTPN11	5781	protein tyrosine phosphatase non-receptor type 11	BPTP3|CFC|JMML|METCDS|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2	12	NaturalKiller_Cell_Cytotoxicity
ICAM1	3383	intercellular adhesion molecule 1	BB2|CD54|P3.58	19	NaturalKiller_Cell_Cytotoxicity
ICAM2	3384	intercellular adhesion molecule 2	CD102	17	NaturalKiller_Cell_Cytotoxicity
ITGAL	3683	integrin subunit alpha L	CD11A|LFA-1|LFA1A	16	NaturalKiller_Cell_Cytotoxicity
ITGB2	3689	integrin subunit beta 2	CD18|LAD|LCAMB|LFA-1|MAC-1|MF17|MFI7	21	NaturalKiller_Cell_Cytotoxicity
PTK2B	2185	protein tyrosine kinase 2 beta	CADTK|CAKB|FADK2|FAK2|PKB|PTK|PYK2|RAFTK	8	NaturalKiller_Cell_Cytotoxicity
VAV3	10451	vav guanine nucleotide exchange factor 3	-	1	NaturalKiller_Cell_Cytotoxicity
VAV1	7409	vav guanine nucleotide exchange factor 1	VAV	19	NaturalKiller_Cell_Cytotoxicity
VAV2	7410	vav guanine nucleotide exchange factor 2	VAV-2	9	NaturalKiller_Cell_Cytotoxicity
RAC1	5879	Rac family small GTPase 1	MIG5|MRD48|Rac-1|TC-25|p21-Rac1	7	NaturalKiller_Cell_Cytotoxicity
RAC2	5880	Rac family small GTPase 2	EN-7|Gx|HSPC022|p21-Rac2	22	NaturalKiller_Cell_Cytotoxicity
RAC3	5881	Rac family small GTPase 3	-	17	NaturalKiller_Cell_Cytotoxicity
PAK1	5058	p21 (RAC1) activated kinase 1	IDDMSSD|PAKalpha|alpha-PAK|p65-PAK	11	NaturalKiller_Cell_Cytotoxicity
MAP2K1	5604	mitogen-activated protein kinase kinase 1	CFC3|MAPKK1|MEK1|MKK1|PRKMK1	15	NaturalKiller_Cell_Cytotoxicity
MAP2K2	5605	mitogen-activated protein kinase kinase 2	CFC4|MAPKK2|MEK2|MKK2|PRKMK2	19	NaturalKiller_Cell_Cytotoxicity
MAPK1	5594	mitogen-activated protein kinase 1	ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK	22	NaturalKiller_Cell_Cytotoxicity
MAPK3	5595	mitogen-activated protein kinase 3	ERK-1|ERK1|ERT2|HS44KDAP|HUMKER1A|P44ERK1|P44MAPK|PRKM3|p44-ERK1|p44-MAPK	16	NaturalKiller_Cell_Cytotoxicity
TNF	7124	tumor necrosis factor	DIF|TNF-alpha|TNFA|TNFSF2|TNLG1F	6	NaturalKiller_Cell_Cytotoxicity
CSF2	1437	colony stimulating factor 2	CSF|GMCSF	5	NaturalKiller_Cell_Cytotoxicity
IFNG	3458	interferon gamma	IFG|IFI	12	NaturalKiller_Cell_Cytotoxicity
KIR2DS1	3806	"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1"	CD158H|CD158a|p50.1	19	NaturalKiller_Cell_Cytotoxicity
KIR2DS3	3808	"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3"	NKAT7	19	NaturalKiller_Cell_Cytotoxicity
KIR2DS4	3809	"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4"	CD158I|KIR-2DS4|KIR1D|KIR412|KKA3|NKAT-8|NKAT8	19	NaturalKiller_Cell_Cytotoxicity
KIR2DS5	3810	"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5"	CD158G|NKAT9	19	NaturalKiller_Cell_Cytotoxicity
NCR2	9436	natural cytotoxicity triggering receptor 2	CD336|LY95|NK-p44|NKP44|dJ149M18.1	6	NaturalKiller_Cell_Cytotoxicity
TYROBP	7305	transmembrane immune signaling adaptor TYROBP	DAP12|KARAP|PLOSL|PLOSL1	19	NaturalKiller_Cell_Cytotoxicity
LCK	3932	"LCK proto-oncogene, Src family tyrosine kinase"	IMD22|LSK|YT16|p56lck|pp58lck	1	NaturalKiller_Cell_Cytotoxicity
FCGR3A	2214	Fc fragment of IgG receptor IIIa	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	1	NaturalKiller_Cell_Cytotoxicity
FCGR3B	2215	Fc fragment of IgG receptor IIIb	CD16|CD16A|CD16b|FCG3|FCGR3|FCGR3A|FCR-10|FCRIII|FCRIIIb	1	NaturalKiller_Cell_Cytotoxicity
NCR1	9437	natural cytotoxicity triggering receptor 1	CD335|LY94|NK-p46|NKP46	19	NaturalKiller_Cell_Cytotoxicity
NCR3	259197	natural cytotoxicity triggering receptor 3	1C7|CD337|LY117|MALS|NKp30	6	NaturalKiller_Cell_Cytotoxicity
FCER1G	2207	Fc fragment of IgE receptor Ig	FCRG	1	NaturalKiller_Cell_Cytotoxicity
CD247	919	CD247 molecule	CD3-ZETA|CD3H|CD3Q|CD3Z|IMD25|T3Z|TCRZ	1	NaturalKiller_Cell_Cytotoxicity
ZAP70	7535	zeta chain of T cell receptor associated protein kinase 70	ADMIO2|IMD48|SRK|STCD|STD|TZK|ZAP-70	2	NaturalKiller_Cell_Cytotoxicity
SYK	6850	spleen associated tyrosine kinase	p72-Syk	9	NaturalKiller_Cell_Cytotoxicity
LCP2	3937	lymphocyte cytosolic protein 2	SLP-76|SLP76	5	NaturalKiller_Cell_Cytotoxicity
LAT	27040	linker for activation of T cells	IMD52|LAT1|pp36	16	NaturalKiller_Cell_Cytotoxicity
PLCG1	5335	phospholipase C gamma 1	NCKAP3|PLC-II|PLC1|PLC148|PLCgamma1	20	NaturalKiller_Cell_Cytotoxicity
PLCG2	5336	phospholipase C gamma 2	APLAID|FCAS3|PLC-IV|PLC-gamma-2	16	NaturalKiller_Cell_Cytotoxicity
SH3BP2	6452	SH3 domain binding protein 2	3BP-2|3BP2|CRBM|CRPM|RES4-23	4	NaturalKiller_Cell_Cytotoxicity
PIK3CA	5290	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"	CLAPO|CLOVE|CWS5|MCAP|MCM|MCMTC|PI3K|PI3K-alpha|p110-alpha	3	NaturalKiller_Cell_Cytotoxicity
PIK3CB	5291	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	P110BETA|PI3K|PI3KBETA|PIK3C1	3	NaturalKiller_Cell_Cytotoxicity
PIK3CD	5293	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"	APDS|IMD14|P110DELTA|PI3K|p110D	1	NaturalKiller_Cell_Cytotoxicity
PIK3CG	5294	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"	PI3CG|PI3K|PI3Kgamma|PIK3|p110gamma|p120-PI3K	7	NaturalKiller_Cell_Cytotoxicity
PIK3R5	23533	phosphoinositide-3-kinase regulatory subunit 5	F730038I15Rik|FOAP-2|P101-PI3K|p101	17	NaturalKiller_Cell_Cytotoxicity
PIK3R1	5295	phosphoinositide-3-kinase regulatory subunit 1	AGM7|GRB1|IMD36|p85|p85-ALPHA	5	NaturalKiller_Cell_Cytotoxicity
PIK3R2	5296	phosphoinositide-3-kinase regulatory subunit 2	MPPH|MPPH1|P85B|p85|p85-BETA	19	NaturalKiller_Cell_Cytotoxicity
PIK3R3	8503	phosphoinositide-3-kinase regulatory subunit 3	p55|p55-GAMMA|p55PIK	1	NaturalKiller_Cell_Cytotoxicity
FYN	2534	"FYN proto-oncogene, Src family tyrosine kinase"	SLK|SYN|p59-FYN	6	NaturalKiller_Cell_Cytotoxicity
SHC2	25759	SHC adaptor protein 2	SCK|SHCB|SLI	19	NaturalKiller_Cell_Cytotoxicity
SHC4	399694	SHC adaptor protein 4	RaLP|SHCD	15	NaturalKiller_Cell_Cytotoxicity
SHC3	53358	SHC adaptor protein 3	N-Shc|NSHC|RAI|SHCC	9	NaturalKiller_Cell_Cytotoxicity
SHC1	6464	SHC adaptor protein 1	SHC|SHCA	1	NaturalKiller_Cell_Cytotoxicity
GRB2	2885	growth factor receptor bound protein 2	ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2	17	NaturalKiller_Cell_Cytotoxicity
SOS1	6654	SOS Ras/Rac guanine nucleotide exchange factor 1	GF1|GGF1|GINGF|HGF|NS4|SOS-1	2	NaturalKiller_Cell_Cytotoxicity
SOS2	6655	SOS Ras/Rho guanine nucleotide exchange factor 2	NS9|SOS-2	14	NaturalKiller_Cell_Cytotoxicity
HRAS	3265	"HRas proto-oncogene, GTPase"	C-BAS/HAS|C-H-RAS|C-HA-RAS1|CTLO|H-RASIDX|HAMSV|HRAS1|RASH1|p21ras	11	NaturalKiller_Cell_Cytotoxicity
KRAS	3845	"KRAS proto-oncogene, GTPase"	'C-K-RAS|C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|K-Ras|K-Ras 2|KI-RAS|KRAS1|KRAS2|NS|NS3|OES|RALD|RASK2|c-Ki-ras|c-Ki-ras2	12	NaturalKiller_Cell_Cytotoxicity
NRAS	4893	"NRAS proto-oncogene, GTPase"	ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6	1	NaturalKiller_Cell_Cytotoxicity
ARAF	369	"A-Raf proto-oncogene, serine/threonine kinase"	A-RAF|ARAF1|PKS2|RAFA1	X	NaturalKiller_Cell_Cytotoxicity
BRAF	673	"B-Raf proto-oncogene, serine/threonine kinase"	B-RAF1|B-raf|BRAF1|NS7|RAFB1	7	NaturalKiller_Cell_Cytotoxicity
RAF1	5894	"Raf-1 proto-oncogene, serine/threonine kinase"	CMD1NN|CRAF|NS5|Raf-1|c-Raf	3	NaturalKiller_Cell_Cytotoxicity
MICA	100507436	MHC class I polypeptide-related sequence A	MIC-A|PERB11.1	6	NaturalKiller_Cell_Cytotoxicity
MICB	4277	MHC class I polypeptide-related sequence B	PERB11.2	6	NaturalKiller_Cell_Cytotoxicity
ULBP3	79465	UL16 binding protein 3	N2DL-3|NKG2DL3|RAET1N	6	NaturalKiller_Cell_Cytotoxicity
ULBP2	80328	UL16 binding protein 2	ALCAN-alpha|N2DL2|NKG2DL2|RAET1H|RAET1L	6	NaturalKiller_Cell_Cytotoxicity
ULBP1	80329	UL16 binding protein 1	N2DL-1|NKG2DL1|RAET1I	6	NaturalKiller_Cell_Cytotoxicity
KLRK1	22914	killer cell lectin like receptor K1	CD314|D12S2489E|KLR|NKG2-D|NKG2D	12	NaturalKiller_Cell_Cytotoxicity
HCST	10870	hematopoietic cell signal transducer	DAP10|KAP10|PIK3AP	19	NaturalKiller_Cell_Cytotoxicity
CD48	962	CD48 molecule	BCM1|BLAST|BLAST1|MEM-102|SLAMF2|hCD48|mCD48	1	NaturalKiller_Cell_Cytotoxicity
CD244	51744	CD244 molecule	2B4|NAIL|NKR2B4|Nmrk|SLAMF4	1	NaturalKiller_Cell_Cytotoxicity
PPP3CA	5530	protein phosphatase 3 catalytic subunit alpha	ACCIID|CALN|CALNA|CALNA1|CCN1|CNA1|IECEE|IECEE1|PPP2B	4	NaturalKiller_Cell_Cytotoxicity
PPP3CB	5532	protein phosphatase 3 catalytic subunit beta	CALNA2|CALNB|CNA2|PP2Bbeta	10	NaturalKiller_Cell_Cytotoxicity
PPP3CC	5533	protein phosphatase 3 catalytic subunit gamma	CALNA3|CNA3|PP2Bgamma	8	NaturalKiller_Cell_Cytotoxicity
CHP1	11261	calcineurin like EF-hand protein 1	CHP|SLC9A1BP|SPAX9|Sid470p|p22|p24	15	NaturalKiller_Cell_Cytotoxicity
PPP3R1	5534	"protein phosphatase 3 regulatory subunit B, alpha"	CALNB1|CNB|CNB1	2	NaturalKiller_Cell_Cytotoxicity
PPP3R2	5535	"protein phosphatase 3 regulatory subunit B, beta"	PPP3RL	9	NaturalKiller_Cell_Cytotoxicity
CHP2	63928	calcineurin like EF-hand protein 2	-	16	NaturalKiller_Cell_Cytotoxicity
NFAT5	10725	nuclear factor of activated T cells 5	NF-AT5|NFATL1|NFATZ|OREBP|TONEBP	16	NaturalKiller_Cell_Cytotoxicity
NFATC1	4772	nuclear factor of activated T cells 1	NF-ATC|NF-ATc1.2|NFAT2|NFATc	18	NaturalKiller_Cell_Cytotoxicity
NFATC2	4773	nuclear factor of activated T cells 2	NFAT1|NFATP	20	NaturalKiller_Cell_Cytotoxicity
NFATC3	4775	nuclear factor of activated T cells 3	NF-AT4c|NFAT4|NFATX	16	NaturalKiller_Cell_Cytotoxicity
NFATC4	4776	nuclear factor of activated T cells 4	NF-AT3|NF-ATC4|NFAT3	14	NaturalKiller_Cell_Cytotoxicity
PRKCA	5578	protein kinase C alpha	AAG6|PKC-alpha|PKCA|PKCI+/-|PKCalpha|PRKACA	17	NaturalKiller_Cell_Cytotoxicity
PRKCB	5579	protein kinase C beta	PKC-beta|PKCB|PKCI(2)|PKCbeta|PRKCB1|PRKCB2	16	NaturalKiller_Cell_Cytotoxicity
PRKCG	5582	protein kinase C gamma	PKC-gamma|PKCC|PKCG|PKCI(3)|PKCgamma|SCA14	19	NaturalKiller_Cell_Cytotoxicity
SH2D1B	117157	SH2 domain containing 1B	EAT2	1	NaturalKiller_Cell_Cytotoxicity
SH2D1A	4068	SH2 domain containing 1A	DSHP|EBVS|IMD5|LYP|MTCP1|SAP|SAP/SH2D1A|XLP|XLPD|XLPD1	X	NaturalKiller_Cell_Cytotoxicity
IFNGR1	3459	interferon gamma receptor 1	CD119|IFNGR|IMD27A|IMD27B	6	NaturalKiller_Cell_Cytotoxicity
IFNGR2	3460	interferon gamma receptor 2	AF-1|IFGR2|IFNGT1|IMD28	21	NaturalKiller_Cell_Cytotoxicity
IFNA1	3439	interferon alpha 1	IFL|IFN|IFN-ALPHA|IFN-alphaD|IFNA13|IFNA@|leIF D	9	NaturalKiller_Cell_Cytotoxicity
IFNA2	3440	interferon alpha 2	IFN-alpha-2|IFN-alphaA|IFNA|IFNA2B|leIF A	9	NaturalKiller_Cell_Cytotoxicity
IFNA4	3441	interferon alpha 4	IFN-alpha4a|INFA4	9	NaturalKiller_Cell_Cytotoxicity
IFNA5	3442	interferon alpha 5	IFN-alpha-5|IFN-alphaG|INA5|INFA5|leIF G	9	NaturalKiller_Cell_Cytotoxicity
IFNA6	3443	interferon alpha 6	IFN-alphaK	9	NaturalKiller_Cell_Cytotoxicity
IFNA7	3444	interferon alpha 7	IFN-alphaJ|IFNA-J	9	NaturalKiller_Cell_Cytotoxicity
IFNA8	3445	interferon alpha 8	IFN-alphaB	9	NaturalKiller_Cell_Cytotoxicity
IFNA10	3446	interferon alpha 10	IFN-alphaC	9	NaturalKiller_Cell_Cytotoxicity
IFNA13	3447	interferon alpha 13	-	9	NaturalKiller_Cell_Cytotoxicity
IFNA14	3448	interferon alpha 14	IFN-alphaH|LEIF2H	9	NaturalKiller_Cell_Cytotoxicity
IFNA16	3449	interferon alpha 16	IFN-alpha-16|IFN-alphaO	9	NaturalKiller_Cell_Cytotoxicity
IFNA17	3451	interferon alpha 17	IFN-alphaI|IFNA|INFA|LEIF2C1	9	NaturalKiller_Cell_Cytotoxicity
IFNA21	3452	interferon alpha 21	IFN-alphaI|LeIF F|leIF-F	9	NaturalKiller_Cell_Cytotoxicity
IFNB1	3456	interferon beta 1	IFB|IFF|IFN-beta|IFNB	9	NaturalKiller_Cell_Cytotoxicity
IFNAR1	3454	interferon alpha and beta receptor subunit 1	AVP|IFN-alpha-REC|IFNAR|IFNBR|IFRC	21	NaturalKiller_Cell_Cytotoxicity
IFNAR2	3455	interferon alpha and beta receptor subunit 2	IFN-R|IFN-alpha-REC|IFNABR|IFNARB|IMD45	21	NaturalKiller_Cell_Cytotoxicity
TNFSF10	8743	TNF superfamily member 10	APO2L|Apo-2L|CD253|TL2|TNLG6A|TRAIL	3	NaturalKiller_Cell_Cytotoxicity
TNFRSF10D	8793	TNF receptor superfamily member 10d	CD264|DCR2|TRAIL-R4|TRAILR4|TRUNDD	8	NaturalKiller_Cell_Cytotoxicity
TNFRSF10C	8794	TNF receptor superfamily member 10c	CD263|DCR1|DCR1-TNFR|LIT|TRAIL-R3|TRAILR3|TRID	8	NaturalKiller_Cell_Cytotoxicity
TNFRSF10B	8795	TNF receptor superfamily member 10b	CD262|DR5|KILLER|KILLER/DR5|TRAIL-R2|TRAILR2|TRICK2|TRICK2A|TRICK2B|TRICKB|ZTNFR9	8	NaturalKiller_Cell_Cytotoxicity
TNFRSF10A	8797	TNF receptor superfamily member 10a	APO2|CD261|DR4|TRAILR-1|TRAILR1	8	NaturalKiller_Cell_Cytotoxicity
FASLG	356	Fas ligand	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A	1	NaturalKiller_Cell_Cytotoxicity
FAS	355	Fas cell surface death receptor	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	10	NaturalKiller_Cell_Cytotoxicity
GZMB	3002	granzyme B	C11|CCPI|CGL-1|CGL1|CSP-B|CSPB|CTLA1|CTSGL1|HLP|SECT	14	NaturalKiller_Cell_Cytotoxicity
PRF1	5551	perforin 1	HPLH2|P1|PFP	10	NaturalKiller_Cell_Cytotoxicity
CASP3	836	caspase 3	CPP32|CPP32B|SCA-1	4	NaturalKiller_Cell_Cytotoxicity
BID	637	BH3 interacting domain death agonist	FP497	22	NaturalKiller_Cell_Cytotoxicity
CD3D	915	CD3d molecule	CD3-DELTA|IMD19|T3D	11	TCRsignalingPathway
CD3E	916	CD3e molecule	IMD18|T3E|TCRE	11	TCRsignalingPathway
CD3G	917	CD3g molecule	CD3-GAMMA|IMD17|T3G	11	TCRsignalingPathway
CD247	919	CD247 molecule	CD3-ZETA|CD3H|CD3Q|CD3Z|IMD25|T3Z|TCRZ	1	TCRsignalingPathway
CD4	920	CD4 molecule	CD4mut	12	TCRsignalingPathway
CD8A	925	CD8a molecule	CD8|Leu2|p32	2	TCRsignalingPathway
CD8B	926	CD8b molecule	CD8B1|LEU2|LY3|LYT3|P37	2	TCRsignalingPathway
PTPRC	5788	protein tyrosine phosphatase receptor type C	B220|CD45|CD45R|GP180|L-CA|LCA|LY5|T200	1	TCRsignalingPathway
LCK	3932	"LCK proto-oncogene, Src family tyrosine kinase"	IMD22|LSK|YT16|p56lck|pp58lck	1	TCRsignalingPathway
FYN	2534	"FYN proto-oncogene, Src family tyrosine kinase"	SLK|SYN|p59-FYN	6	TCRsignalingPathway
ZAP70	7535	zeta chain of T cell receptor associated protein kinase 70	ADMIO2|IMD48|SRK|STCD|STD|TZK|ZAP-70	2	TCRsignalingPathway
LCP2	3937	lymphocyte cytosolic protein 2	SLP-76|SLP76	5	TCRsignalingPathway
LAT	27040	linker for activation of T cells	IMD52|LAT1|pp36	16	TCRsignalingPathway
ITK	3702	IL2 inducible T cell kinase	EMT|LPFS1|LYK|PSCTK2	5	TCRsignalingPathway
TEC	7006	tec protein tyrosine kinase	PSCTK4	4	TCRsignalingPathway
NCK1	4690	NCK adaptor protein 1	NCK|NCKalpha|nck-1	3	TCRsignalingPathway
NCK2	8440	NCK adaptor protein 2	GRB4|NCKbeta	2	TCRsignalingPathway
VAV3	10451	vav guanine nucleotide exchange factor 3	-	1	TCRsignalingPathway
VAV1	7409	vav guanine nucleotide exchange factor 1	VAV	19	TCRsignalingPathway
VAV2	7410	vav guanine nucleotide exchange factor 2	VAV-2	9	TCRsignalingPathway
GRAP2	9402	GRB2 related adaptor protein 2	GADS|GRAP-2|GRB2L|GRBLG|GRID|GRPL|GrbX|Grf40|Mona|P38	22	TCRsignalingPathway
GRB2	2885	growth factor receptor bound protein 2	ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2	17	TCRsignalingPathway
PAK1	5058	p21 (RAC1) activated kinase 1	IDDMSSD|PAKalpha|alpha-PAK|p65-PAK	11	TCRsignalingPathway
PAK2	5062	p21 (RAC1) activated kinase 2	PAK65|PAKgamma	3	TCRsignalingPathway
PAK3	5063	p21 (RAC1) activated kinase 3	ARA|MRX30|MRX47|OPHN3|PAK-3|PAK3beta|bPAK|beta-PAK	X	TCRsignalingPathway
PAK4	10298	p21 (RAC1) activated kinase 4	-	19	TCRsignalingPathway
PAK6	56924	p21 (RAC1) activated kinase 6	PAK5	15	TCRsignalingPathway
PAK5	57144	p21 (RAC1) activated kinase 5	PAK7	20	TCRsignalingPathway
RHOA	387	ras homolog family member A	ARH12|ARHA|EDFAOB|RHO12|RHOH12	3	TCRsignalingPathway
CDC42	998	cell division cycle 42	CDC42Hs|G25K|TKS	1	TCRsignalingPathway
PPP3CA	5530	protein phosphatase 3 catalytic subunit alpha	ACCIID|CALN|CALNA|CALNA1|CCN1|CNA1|IECEE|IECEE1|PPP2B	4	TCRsignalingPathway
PPP3CB	5532	protein phosphatase 3 catalytic subunit beta	CALNA2|CALNB|CNA2|PP2Bbeta	10	TCRsignalingPathway
PPP3CC	5533	protein phosphatase 3 catalytic subunit gamma	CALNA3|CNA3|PP2Bgamma	8	TCRsignalingPathway
CHP1	11261	calcineurin like EF-hand protein 1	CHP|SLC9A1BP|SPAX9|Sid470p|p22|p24	15	TCRsignalingPathway
PPP3R1	5534	"protein phosphatase 3 regulatory subunit B, alpha"	CALNB1|CNB|CNB1	2	TCRsignalingPathway
PPP3R2	5535	"protein phosphatase 3 regulatory subunit B, beta"	PPP3RL	9	TCRsignalingPathway
CHP2	63928	calcineurin like EF-hand protein 2	-	16	TCRsignalingPathway
NFAT5	10725	nuclear factor of activated T cells 5	NF-AT5|NFATL1|NFATZ|OREBP|TONEBP	16	TCRsignalingPathway
NFATC1	4772	nuclear factor of activated T cells 1	NF-ATC|NF-ATc1.2|NFAT2|NFATc	18	TCRsignalingPathway
NFATC2	4773	nuclear factor of activated T cells 2	NFAT1|NFATP	20	TCRsignalingPathway
NFATC3	4775	nuclear factor of activated T cells 3	NF-AT4c|NFAT4|NFATX	16	TCRsignalingPathway
NFATC4	4776	nuclear factor of activated T cells 4	NF-AT3|NF-ATC4|NFAT3	14	TCRsignalingPathway
SOS1	6654	SOS Ras/Rac guanine nucleotide exchange factor 1	GF1|GGF1|GINGF|HGF|NS4|SOS-1	2	TCRsignalingPathway
SOS2	6655	SOS Ras/Rho guanine nucleotide exchange factor 2	NS9|SOS-2	14	TCRsignalingPathway
HRAS	3265	"HRas proto-oncogene, GTPase"	C-BAS/HAS|C-H-RAS|C-HA-RAS1|CTLO|H-RASIDX|HAMSV|HRAS1|RASH1|p21ras	11	TCRsignalingPathway
KRAS	3845	"KRAS proto-oncogene, GTPase"	'C-K-RAS|C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|K-Ras|K-Ras 2|KI-RAS|KRAS1|KRAS2|NS|NS3|OES|RALD|RASK2|c-Ki-ras|c-Ki-ras2	12	TCRsignalingPathway
NRAS	4893	"NRAS proto-oncogene, GTPase"	ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6	1	TCRsignalingPathway
FOS	2353	"Fos proto-oncogene, AP-1 transcription factor subunit"	AP-1|C-FOS|p55	14	TCRsignalingPathway
JUN	3725	"Jun proto-oncogene, AP-1 transcription factor subunit"	AP-1|AP1|c-Jun|cJUN|p39	1	TCRsignalingPathway
CARD11	84433	caspase recruitment domain family member 11	BENTA|BIMP3|CARMA1|IMD11|IMD11A|PPBL	7	TCRsignalingPathway
BCL10	8915	BCL10 immune signaling adaptor	CARMEN|CIPER|CLAP|IMD37|c-E10|mE10	1	TCRsignalingPathway
MALT1	10892	MALT1 paracaspase	IMD12|MLT|MLT1|PCASP1	18	TCRsignalingPathway
CHUK	1147	component of inhibitor of nuclear factor kappa B kinase complex	IKBKA|IKK-alpha|IKK1|IKKA|NFKBIKA|TCF16	10	TCRsignalingPathway
IKBKB	3551	inhibitor of nuclear factor kappa B kinase subunit beta	IKK-beta|IKK2|IKKB|IMD15|IMD15A|IMD15B|NFKBIKB	8	TCRsignalingPathway
IKBKG	8517	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma	AMCBX1|EDAID1|FIP-3|FIP3|Fip3p|IKK-gamma|IKKAP1|IKKG|IMD33|IP|IP1|IP2|IPD2|NEMO|ZC2HC9	X	TCRsignalingPathway
NFKB1	4790	nuclear factor kappa B subunit 1	CVID12|EBP-1|KBF1|NF-kB|NF-kB1|NF-kappa-B1|NF-kappaB|NF-kappabeta|NFKB-p105|NFKB-p50|NFkappaB	4	TCRsignalingPathway
RELA	5970	"RELA proto-oncogene, NF-kB subunit"	CMCU|NFKB3|p65	11	TCRsignalingPathway
NFKBIA	4792	NFKB inhibitor alpha	EDAID2|IKBA|MAD-3|NFKBI	14	TCRsignalingPathway
NFKBIB	4793	NFKB inhibitor beta	IKBB|TRIP9	19	TCRsignalingPathway
NFKBIE	4794	NFKB inhibitor epsilon	IKBE	6	TCRsignalingPathway
CD28	940	CD28 molecule	Tp44	2	TCRsignalingPathway
ICOS	29851	inducible T cell costimulator	AILIM|CD278|CVID1	2	TCRsignalingPathway
CD40LG	959	CD40 ligand	CD154|CD40L|HIGM1|IGM|IMD3|T-BAM|TNFSF5|TRAP|gp39|hCD40L	X	TCRsignalingPathway
PIK3R5	23533	phosphoinositide-3-kinase regulatory subunit 5	F730038I15Rik|FOAP-2|P101-PI3K|p101	17	TCRsignalingPathway
PIK3R1	5295	phosphoinositide-3-kinase regulatory subunit 1	AGM7|GRB1|IMD36|p85|p85-ALPHA	5	TCRsignalingPathway
PIK3R2	5296	phosphoinositide-3-kinase regulatory subunit 2	MPPH|MPPH1|P85B|p85|p85-BETA	19	TCRsignalingPathway
PIK3R3	8503	phosphoinositide-3-kinase regulatory subunit 3	p55|p55-GAMMA|p55PIK	1	TCRsignalingPathway
PIK3CA	5290	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"	CLAPO|CLOVE|CWS5|MCAP|MCM|MCMTC|PI3K|PI3K-alpha|p110-alpha	3	TCRsignalingPathway
PIK3CB	5291	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	P110BETA|PI3K|PI3KBETA|PIK3C1	3	TCRsignalingPathway
PIK3CD	5293	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"	APDS|IMD14|P110DELTA|PI3K|p110D	1	TCRsignalingPathway
PIK3CG	5294	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"	PI3CG|PI3K|PI3Kgamma|PIK3|p110gamma|p120-PI3K	7	TCRsignalingPathway
AKT3	10000	AKT serine/threonine kinase 3	MPPH|MPPH2|PKB-GAMMA|PKBG|PRKBG|RAC-PK-gamma|RAC-gamma|STK-2	1	TCRsignalingPathway
AKT1	207	AKT serine/threonine kinase 1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	14	TCRsignalingPathway
